"B11016_001E","B11016_001M","B11016_002E","B11016_002M","B11016_003E","B11016_003M","B11016_004E","B11016_004M","B11016_005E","B11016_005M","B11016_006E","B11016_006M","B11016_007E","B11016_007M","B11016_008E","B11016_008M","B11016_009E","B11016_009M","B11016_010E","B11016_010M","B11016_011E","B11016_011M","B11016_012E","B11016_012M","B11016_013E","B11016_013M","B11016_014E","B11016_014M","B11016_015E","B11016_015M","B11016_016E","B11016_016M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!2-person household","Margin of Error!!Total:!!Family households:!!2-person household","Estimate!!Total:!!Family households:!!3-person household","Margin of Error!!Total:!!Family households:!!3-person household","Estimate!!Total:!!Family households:!!4-person household","Margin of Error!!Total:!!Family households:!!4-person household","Estimate!!Total:!!Family households:!!5-person household","Margin of Error!!Total:!!Family households:!!5-person household","Estimate!!Total:!!Family households:!!6-person household","Margin of Error!!Total:!!Family households:!!6-person household","Estimate!!Total:!!Family households:!!7-or-more person household","Margin of Error!!Total:!!Family households:!!7-or-more person household","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!1-person household","Margin of Error!!Total:!!Nonfamily households:!!1-person household","Estimate!!Total:!!Nonfamily households:!!2-person household","Margin of Error!!Total:!!Nonfamily households:!!2-person household","Estimate!!Total:!!Nonfamily households:!!3-person household","Margin of Error!!Total:!!Nonfamily households:!!3-person household","Estimate!!Total:!!Nonfamily households:!!4-person household","Margin of Error!!Total:!!Nonfamily households:!!4-person household","Estimate!!Total:!!Nonfamily households:!!5-person household","Margin of Error!!Total:!!Nonfamily households:!!5-person household","Estimate!!Total:!!Nonfamily households:!!6-person household","Margin of Error!!Total:!!Nonfamily households:!!6-person household","Estimate!!Total:!!Nonfamily households:!!7-or-more person household","Margin of Error!!Total:!!Nonfamily households:!!7-or-more person household","id","Geographic Area Name"
"0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","1400000US36005000100","Census Tract 1, Bronx County, New York"
"1342","78","963","128","171","78","386","125","180","65","62","49","23","30","141","59","379","118","275","106","94","68","0","12","0","12","0","12","10","15","0","12","1400000US36005000200","Census Tract 2, Bronx County, New York"
"2042","101","1390","200","425","122","536","165","235","104","160","105","34","39","0","17","652","194","488","153","152","99","12","19","0","17","0","17","0","17","0","17","1400000US36005000400","Census Tract 4, Bronx County, New York"
"1971","79","1379","142","460","120","402","126","319","107","119","69","51","43","28","37","592","125","529","112","33","40","0","17","0","17","30","42","0","17","0","17","1400000US36005001600","Census Tract 16, Bronx County, New York"
"1079","75","534","82","155","59","95","37","180","59","79","39","7","12","18","20","545","89","422","89","88","37","35","28","0","12","0","12","0","12","0","12","1400000US36005001900","Census Tract 19, Bronx County, New York"
"3269","114","2014","258","584","204","553","255","458","182","242","144","62","64","115","95","1255","288","1255","288","0","17","0","17","0","17","0","17","0","17","0","17","1400000US36005002000","Census Tract 20, Bronx County, New York"
"1914","34","1060","146","511","120","170","96","213","102","140","71","25","27","1","15","854","144","844","142","10","16","0","12","0","12","0","12","0","12","0","12","1400000US36005002300","Census Tract 23, Bronx County, New York"
"38","51","38","51","0","12","0","12","38","51","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005002400","Census Tract 24, Bronx County, New York"
"1977","75","1302","148","482","135","366","123","89","62","219","96","41","43","105","77","675","150","623","154","37","34","7","11","0","17","8","13","0","17","0","17","1400000US36005002500","Census Tract 25, Bronx County, New York"
"1043","51","615","124","220","89","174","80","124","76","22","20","64","52","11","19","428","120","417","122","11","20","0","12","0","12","0","12","0","12","0","12","1400000US36005002701","Census Tract 27.01, Bronx County, New York"
"1520","65","950","130","345","128","126","75","214","114","209","102","40","34","16","24","570","135","472","122","98","77","0","12","0","12","0","12","0","12","0","12","1400000US36005002702","Census Tract 27.02, Bronx County, New York"
"2305","118","1460","201","755","196","533","233","123","137","49","57","0","17","0","17","845","188","787","185","58","58","0","17","0","17","0","17","0","17","0","17","1400000US36005002800","Census Tract 28, Bronx County, New York"
"658","64","407","66","93","50","169","65","83","56","49","34","9","17","4","8","251","74","238","71","0","12","13","21","0","12","0","12","0","12","0","12","1400000US36005003100","Census Tract 31, Bronx County, New York"
"1183","60","722","102","282","109","121","72","179","76","83","56","5","13","52","47","461","99","379","111","57","50","25","40","0","12","0","12","0","12","0","12","1400000US36005003300","Census Tract 33, Bronx County, New York"
"1322","61","962","106","225","92","362","112","233","100","96","66","30","36","16","26","360","109","336","105","21","27","3","10","0","12","0","12","0","12","0","12","1400000US36005003500","Census Tract 35, Bronx County, New York"
"145","53","52","29","28","26","24","21","0","12","0","12","0","12","0","12","93","47","81","45","0","12","12","19","0","12","0","12","0","12","0","12","1400000US36005003700","Census Tract 37, Bronx County, New York"
"415","36","310","47","72","34","77","40","84","47","44","30","25","19","8","11","105","44","105","44","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005003800","Census Tract 38, Bronx County, New York"
"2104","155","1051","246","225","126","277","154","237","122","48","47","152","98","112","90","1053","267","854","219","17","30","117","196","41","62","0","17","0","17","24","39","1400000US36005003900","Census Tract 39, Bronx County, New York"
"498","37","344","46","111","48","75","33","65","40","57","28","20","15","16","19","154","44","154","44","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005004001","Census Tract 40.01, Bronx County, New York"
"2188","103","1384","222","421","195","405","207","330","184","95","81","88","97","45","70","804","209","738","211","66","71","0","17","0","17","0","17","0","17","0","17","1400000US36005004100","Census Tract 41, Bronx County, New York"
"2726","115","1926","253","662","193","434","207","438","162","392","232","0","17","0","17","800","222","745","220","55","56","0","17","0","17","0","17","0","17","0","17","1400000US36005004200","Census Tract 42, Bronx County, New York"
"2061","83","1160","144","298","101","312","119","242","108","234","89","23","34","51","41","901","148","865","144","36","31","0","17","0","17","0","17","0","17","0","17","1400000US36005004300","Census Tract 43, Bronx County, New York"
"1648","62","1115","126","544","144","247","108","196","80","68","56","52","46","8","12","533","121","525","120","0","12","0","12","8","13","0","12","0","12","0","12","1400000US36005004400","Census Tract 44, Bronx County, New York"
"721","22","404","90","122","67","137","68","86","43","0","12","31","31","28","21","317","96","229","65","88","64","0","12","0","12","0","12","0","12","0","12","1400000US36005004600","Census Tract 46, Bronx County, New York"
"1406","70","1068","103","256","95","334","110","280","116","126","69","42","37","30","35","338","117","210","82","117","83","11","19","0","12","0","12","0","12","0","12","1400000US36005004800","Census Tract 48, Bronx County, New York"
"1516","76","1029","128","359","104","263","106","183","74","115","77","83","53","26","31","487","127","426","111","43","46","18","27","0","12","0","12","0","12","0","12","1400000US36005005001","Census Tract 50.01, Bronx County, New York"
"1933","97","1260","169","321","92","349","132","320","109","222","106","38","42","10","17","673","169","580","169","79","71","14","23","0","17","0","17","0","17","0","17","1400000US36005005002","Census Tract 50.02, Bronx County, New York"
"2161","89","1680","171","665","189","529","144","390","185","96","64","0","17","0","17","481","158","469","157","12","20","0","17","0","17","0","17","0","17","0","17","1400000US36005005100","Census Tract 51, Bronx County, New York"
"813","59","478","60","238","77","79","46","110","60","8","12","0","12","43","43","335","65","323","66","12","13","0","12","0","12","0","12","0","12","0","12","1400000US36005005200","Census Tract 52, Bronx County, New York"
"1686","34","1187","92","407","122","275","99","299","106","99","51","82","63","25","27","499","91","457","89","23","26","0","12","0","12","0","12","19","30","0","12","1400000US36005005300","Census Tract 53, Bronx County, New York"
"1672","115","1114","132","255","95","253","120","362","128","84","62","69","64","91","66","558","141","482","131","41","53","35","39","0","17","0","17","0","17","0","17","1400000US36005005400","Census Tract 54, Bronx County, New York"
"868","65","508","67","175","51","121","45","106","44","75","41","20","20","11","15","360","71","297","62","36","35","27","30","0","12","0","12","0","12","0","12","1400000US36005005600","Census Tract 56, Bronx County, New York"
"1051","74","632","107","181","83","163","73","157","83","82","62","49","41","0","12","419","107","386","104","33","30","0","12","0","12","0","12","0","12","0","12","1400000US36005005902","Census Tract 59.02, Bronx County, New York"
"376","40","288","46","100","36","55","34","35","22","16","12","38","29","44","29","88","42","88","42","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005006000","Census Tract 60, Bronx County, New York"
"2063","146","830","190","441","183","284","105","96","58","0","12","0","12","9","15","1233","213","1163","212","70","72","0","12","0","12","0","12","0","12","0","12","1400000US36005006100","Census Tract 61, Bronx County, New York"
"2418","132","1863","192","695","228","424","219","393","195","233","123","84","105","34","45","555","178","525","179","0","17","0","17","0","17","30","53","0","17","0","17","1400000US36005006200","Census Tract 62, Bronx County, New York"
"1918","99","1101","134","498","132","285","129","149","64","128","72","23","24","18","23","817","146","714","155","85","45","18","26","0","12","0","12","0","12","0","12","1400000US36005006300","Census Tract 63, Bronx County, New York"
"1271","97","945","136","237","106","362","107","192","98","60","57","31","38","63","59","326","139","233","124","93","60","0","12","0","12","0","12","0","12","0","12","1400000US36005006400","Census Tract 64, Bronx County, New York"
"1962","89","1077","160","247","116","331","156","246","127","66","48","127","89","60","52","885","155","876","155","9","20","0","17","0","17","0","17","0","17","0","17","1400000US36005006500","Census Tract 65, Bronx County, New York"
"2330","142","1439","196","313","147","440","222","380","163","147","140","86","92","73","82","891","200","737","209","154","111","0","17","0","17","0","17","0","17","0","17","1400000US36005006700","Census Tract 67, Bronx County, New York"
"1011","76","659","100","151","83","144","78","149","66","109","76","66","49","40","39","352","100","268","98","51","58","33","32","0","12","0","12","0","12","0","12","1400000US36005006800","Census Tract 68, Bronx County, New York"
"2800","95","1726","241","424","150","444","201","474","216","298","123","38","62","48","70","1074","244","982","244","92","88","0","17","0","17","0","17","0","17","0","17","1400000US36005006900","Census Tract 69, Bronx County, New York"
"1306","95","951","138","286","102","213","101","179","89","125","73","41","50","107","73","355","127","278","108","77","61","0","12","0","12","0","12","0","12","0","12","1400000US36005007000","Census Tract 70, Bronx County, New York"
"1005","26","641","84","200","80","166","70","176","70","42","28","35","30","22","18","364","74","342","77","0","12","22","33","0","12","0","12","0","12","0","12","1400000US36005007100","Census Tract 71, Bronx County, New York"
"1632","88","1226","117","321","143","220","108","283","125","143","80","138","98","121","65","406","107","360","110","16","20","0","17","21","34","9","13","0","17","0","17","1400000US36005007200","Census Tract 72, Bronx County, New York"
"1351","75","950","109","178","78","248","116","244","124","182","97","98","66","0","12","401","96","358","94","43","32","0","12","0","12","0","12","0","12","0","12","1400000US36005007300","Census Tract 73, Bronx County, New York"
"1348","74","800","106","259","98","139","72","247","108","122","63","20","25","13","20","548","113","495","119","43","43","10","16","0","12","0","12","0","12","0","12","1400000US36005007400","Census Tract 74, Bronx County, New York"
"2356","109","1612","150","526","165","473","128","297","103","173","79","61","44","82","61","744","133","690","133","38","44","16","27","0","17","0","17","0","17","0","17","1400000US36005007500","Census Tract 75, Bronx County, New York"
"1642","95","1062","134","272","94","202","98","323","98","101","55","62","56","102","70","580","138","409","127","135","92","36","56","0","17","0","17","0","17","0","17","1400000US36005007600","Census Tract 76, Bronx County, New York"
"592","44","455","57","117","54","118","62","82","46","84","42","49","38","5","10","137","47","134","47","0","12","0","12","3","6","0","12","0","12","0","12","1400000US36005007700","Census Tract 77, Bronx County, New York"
"2201","99","1643","194","189","110","526","189","538","189","263","142","71","71","56","56","558","183","293","136","250","152","0","17","0","17","0","17","15","30","0","17","1400000US36005007800","Census Tract 78, Bronx County, New York"
"2441","153","1742","209","543","201","464","162","381","145","239","112","60","70","55","83","699","213","699","213","0","17","0","17","0","17","0","17","0","17","0","17","1400000US36005007900","Census Tract 79, Bronx County, New York"
"2152","72","1386","159","344","137","424","154","210","100","121","87","241","116","46","47","766","162","609","165","157","105","0","17","0","17","0","17","0","17","0","17","1400000US36005008300","Census Tract 83, Bronx County, New York"
"753","45","634","62","165","66","92","41","125","45","115","74","42","29","95","48","119","50","114","50","5","7","0","12","0","12","0","12","0","12","0","12","1400000US36005008400","Census Tract 84, Bronx County, New York"
"1952","67","1172","159","418","119","361","146","202","91","132","80","33","53","26","33","780","165","695","163","85","65","0","17","0","17","0","17","0","17","0","17","1400000US36005008500","Census Tract 85, Bronx County, New York"
"1460","54","899","140","349","120","210","85","100","58","152","95","40","38","48","49","561","136","543","135","18","21","0","12","0","12","0","12","0","12","0","12","1400000US36005008600","Census Tract 86, Bronx County, New York"
"2056","100","1414","146","419","112","397","111","376","114","78","58","109","58","35","35","642","164","576","157","56","50","0","17","10","16","0","17","0","17","0","17","1400000US36005008700","Census Tract 87, Bronx County, New York"
"1177","64","696","128","271","111","199","91","111","83","37","54","52","52","26","18","481","119","420","120","45","51","16","28","0","12","0","12","0","12","0","12","1400000US36005008900","Census Tract 89, Bronx County, New York"
"1164","61","856","115","314","104","225","88","142","62","92","73","78","68","5","11","308","114","289","117","19","22","0","12","0","12","0","12","0","12","0","12","1400000US36005009000","Census Tract 90, Bronx County, New York"
"1849","81","1377","119","365","142","434","115","219","82","220","90","75","57","64","41","472","127","344","127","128","79","0","17","0","17","0","17","0","17","0","17","1400000US36005009200","Census Tract 92, Bronx County, New York"
"1793","114","1208","162","318","106","240","99","340","151","157","92","70","59","83","67","585","149","537","172","48","53","0","17","0","17","0","17","0","17","0","17","1400000US36005009300","Census Tract 93, Bronx County, New York"
"765","48","602","53","136","48","189","61","118","50","72","35","69","36","18","17","163","46","149","48","6","9","8","11","0","12","0","12","0","12","0","12","1400000US36005009600","Census Tract 96, Bronx County, New York"
"1726","94","1229","159","536","138","347","116","135","80","132","66","14","21","65","57","497","131","415","132","82","65","0","12","0","12","0","12","0","12","0","12","1400000US36005009800","Census Tract 98, Bronx County, New York"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005011000","Census Tract 110, Bronx County, New York"
"1304","94","934","134","250","118","191","95","183","87","125","78","140","74","45","47","370","108","325","102","45","44","0","12","0","12","0","12","0","12","0","12","1400000US36005011502","Census Tract 115.02, Bronx County, New York"
"526","61","332","68","90","65","62","43","135","70","45","40","0","12","0","12","194","56","179","54","15","23","0","12","0","12","0","12","0","12","0","12","1400000US36005011700","Census Tract 117, Bronx County, New York"
"1616","72","1058","140","454","131","224","106","213","104","146","96","21","30","0","17","558","137","498","126","51","56","0","17","9","16","0","17","0","17","0","17","1400000US36005011800","Census Tract 118, Bronx County, New York"
"1933","92","1207","142","311","110","433","117","204","83","194","83","23","31","42","38","726","144","607","140","71","58","28","45","20","32","0","17","0","17","0","17","1400000US36005011900","Census Tract 119, Bronx County, New York"
"975","44","679","73","212","68","163","58","142","45","81","47","65","39","16","15","296","72","282","72","0","12","0","12","14","22","0","12","0","12","0","12","1400000US36005012101","Census Tract 121.01, Bronx County, New York"
"523","45","373","63","140","60","128","51","51","40","48","41","0","12","6","9","150","55","116","48","25","30","0","12","0","12","0","12","9","13","0","12","1400000US36005012102","Census Tract 121.02, Bronx County, New York"
"1608","90","922","117","179","86","419","134","244","94","9","16","51","46","20","32","686","122","664","124","12","20","0","12","10","22","0","12","0","12","0","12","1400000US36005012300","Census Tract 123, Bronx County, New York"
"1316","92","1013","135","304","95","327","112","284","102","72","67","20","25","6","11","303","107","223","100","76","58","0","12","4","7","0","12","0","12","0","12","1400000US36005012500","Census Tract 125, Bronx County, New York"
"762","49","473","93","180","85","141","58","123","64","4","7","19","30","6","9","289","73","279","71","10","13","0","12","0","12","0","12","0","12","0","12","1400000US36005012701","Census Tract 127.01, Bronx County, New York"
"1537","107","944","129","361","119","125","71","215","102","112","85","131","66","0","12","593","116","556","111","26","32","11","20","0","12","0","12","0","12","0","12","1400000US36005012901","Census Tract 129.01, Bronx County, New York"
"464","25","335","52","67","34","73","39","112","48","83","49","0","12","0","12","129","54","117","52","12","13","0","12","0","12","0","12","0","12","0","12","1400000US36005013000","Census Tract 130, Bronx County, New York"
"1715","98","1131","115","276","104","329","120","263","106","147","75","61","48","55","46","584","122","543","113","30","36","0","17","11","20","0","17","0","17","0","17","1400000US36005013100","Census Tract 131, Bronx County, New York"
"2481","76","1815","200","706","202","379","151","367","131","220","138","85","85","58","71","666","178","532","164","121","89","0","17","13","20","0","17","0","17","0","17","1400000US36005013200","Census Tract 132, Bronx County, New York"
"2382","126","1498","194","472","180","549","195","362","157","36","38","79","107","0","17","884","187","864","193","20","32","0","17","0","17","0","17","0","17","0","17","1400000US36005013300","Census Tract 133, Bronx County, New York"
"1442","65","1000","131","519","134","224","89","157","80","42","50","23","38","35","38","442","125","442","125","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005013500","Census Tract 135, Bronx County, New York"
"1131","81","647","89","307","95","180","62","109","74","20","22","20","26","11","16","484","90","393","82","91","57","0","12","0","12","0","12","0","12","0","12","1400000US36005013800","Census Tract 138, Bronx County, New York"
"2302","78","1253","153","423","140","262","90","287","104","186","96","85","66","10","17","1049","168","957","166","92","56","0","17","0","17","0","17","0","17","0","17","1400000US36005014100","Census Tract 141, Bronx County, New York"
"663","57","238","58","42","30","61","33","55","40","58","36","0","12","22","22","425","79","390","71","28","27","0","12","0","12","0","12","0","12","7","9","1400000US36005014300","Census Tract 143, Bronx County, New York"
"2236","148","1210","206","594","198","230","120","120","102","146","111","90","83","30","54","1026","227","980","235","27","47","0","17","19","32","0","17","0","17","0","17","1400000US36005014400","Census Tract 144, Bronx County, New York"
"2400","82","1516","232","417","171","406","206","401","170","110","91","33","51","149","133","884","237","799","229","35","55","50","84","0","17","0","17","0","17","0","17","1400000US36005014500","Census Tract 145, Bronx County, New York"
"1995","80","1514","164","470","186","235","124","294","164","302","137","184","113","29","48","481","161","420","157","61","58","0","17","0","17","0","17","0","17","0","17","1400000US36005014701","Census Tract 147.01, Bronx County, New York"
"1664","40","1370","104","495","106","356","98","219","117","149","78","102","76","49","53","294","91","280","90","14","23","0","17","0","17","0","17","0","17","0","17","1400000US36005014702","Census Tract 147.02, Bronx County, New York"
"1612","60","903","125","295","102","194","104","242","100","99","59","46","41","27","28","709","132","655","137","39","40","15","23","0","12","0","12","0","12","0","12","1400000US36005014900","Census Tract 149, Bronx County, New York"
"1840","94","1264","135","322","116","334","124","395","106","213","106","0","17","0","17","576","118","533","116","34","38","9","16","0","17","0","17","0","17","0","17","1400000US36005015100","Census Tract 151, Bronx County, New York"
"896","47","660","71","229","64","203","67","149","54","64","38","14","21","1","10","236","68","198","58","12","15","26","26","0","12","0","12","0","12","0","12","1400000US36005015200","Census Tract 152, Bronx County, New York"
"1485","98","949","117","148","80","261","99","325","124","164","86","51","56","0","12","536","117","463","121","41","41","24","39","0","12","8","14","0","12","0","12","1400000US36005015300","Census Tract 153, Bronx County, New York"
"1128","39","740","105","238","72","253","89","160","63","76","57","13","21","0","12","388","99","338","101","25","29","25","39","0","12","0","12","0","12","0","12","1400000US36005015500","Census Tract 155, Bronx County, New York"
"1695","66","1075","147","345","127","353","124","197","125","112","79","58","52","10","16","620","150","515","149","63","67","0","12","42","50","0","12","0","12","0","12","1400000US36005015700","Census Tract 157, Bronx County, New York"
"470","59","284","62","51","25","110","49","64","41","31","33","18","21","10","14","186","46","177","43","9","11","0","12","0","12","0","12","0","12","0","12","1400000US36005015800","Census Tract 158, Bronx County, New York"
"702","34","440","65","147","55","138","62","67","45","11","14","48","43","29","23","262","68","232","75","30","44","0","12","0","12","0","12","0","12","0","12","1400000US36005015900","Census Tract 159, Bronx County, New York"
"1482","100","952","130","486","130","210","101","67","48","145","64","44","56","0","12","530","116","474","109","20","23","35","37","1","10","0","12","0","12","0","12","1400000US36005016000","Census Tract 160, Bronx County, New York"
"1801","112","1141","145","349","124","362","126","348","135","35","40","40","44","7","12","660","141","645","139","15","30","0","12","0","12","0","12","0","12","0","12","1400000US36005016100","Census Tract 161, Bronx County, New York"
"560","46","422","59","143","48","105","54","93","51","67","42","0","12","14","16","138","51","130","51","8","10","0","12","0","12","0","12","0","12","0","12","1400000US36005016200","Census Tract 162, Bronx County, New York"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005016300","Census Tract 163, Bronx County, New York"
"418","33","246","49","133","43","34","20","43","24","25","19","0","12","11","13","172","50","143","50","29","19","0","12","0","12","0","12","0","12","0","12","1400000US36005016400","Census Tract 164, Bronx County, New York"
"330","37","244","45","63","38","119","39","30","19","14","15","7","12","11","15","86","39","71","37","15","14","0","12","0","12","0","12","0","12","0","12","1400000US36005016500","Census Tract 165, Bronx County, New York"
"786","51","549","76","193","61","116","56","165","60","58","40","5","7","12","15","237","74","172","69","59","41","6","9","0","12","0","12","0","12","0","12","1400000US36005016600","Census Tract 166, Bronx County, New York"
"1047","46","709","99","166","57","201","80","127","51","119","68","66","38","30","29","338","92","308","80","0","12","9","15","0","12","21","33","0","12","0","12","1400000US36005016700","Census Tract 167, Bronx County, New York"
"503","27","292","45","105","45","68","40","47","24","57","39","12","20","3","8","211","43","157","44","22","26","32","18","0","12","0","12","0","12","0","12","1400000US36005016900","Census Tract 169, Bronx County, New York"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005017100","Census Tract 171, Bronx County, New York"
"2135","105","1270","211","320","147","380","207","247","159","259","128","51","74","13","20","865","214","796","201","69","110","0","17","0","17","0","17","0","17","0","17","1400000US36005017300","Census Tract 173, Bronx County, New York"
"2597","97","1513","193","569","180","625","214","168","116","41","65","38","45","72","73","1084","216","813","195","239","165","32","52","0","17","0","17","0","17","0","17","1400000US36005017500","Census Tract 175, Bronx County, New York"
"1180","119","968","139","150","98","296","139","235","124","186","75","101","77","0","12","212","114","212","114","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005017701","Census Tract 177.01, Bronx County, New York"
"1674","97","1094","140","174","83","379","130","292","109","167","104","0","17","82","71","580","131","439","125","60","66","0","17","64","58","17","28","0","17","0","17","1400000US36005017702","Census Tract 177.02, Bronx County, New York"
"1665","82","1097","138","264","106","386","157","218","87","185","93","0","12","44","41","568","127","485","125","58","53","25","28","0","12","0","12","0","12","0","12","1400000US36005017901","Census Tract 179.01, Bronx County, New York"
"1235","28","899","112","256","116","116","73","255","149","119","102","112","77","41","46","336","119","329","120","7","18","0","12","0","12","0","12","0","12","0","12","1400000US36005017902","Census Tract 179.02, Bronx County, New York"
"1059","76","812","124","277","115","111","76","234","87","143","80","28","26","19","27","247","106","233","103","14","21","0","12","0","12","0","12","0","12","0","12","1400000US36005018101","Census Tract 181.01, Bronx County, New York"
"1653","74","1078","134","210","80","308","113","325","88","122","71","38","53","75","57","575","131","471","124","48","40","46","53","10","16","0","17","0","17","0","17","1400000US36005018102","Census Tract 181.02, Bronx County, New York"
"2028","47","982","127","443","117","326","99","68","50","58","48","47","48","40","44","1046","128","957","129","71","59","0","12","18","27","0","12","0","12","0","12","1400000US36005018301","Census Tract 183.01, Bronx County, New York"
"1262","67","866","104","237","94","241","98","230","92","47","36","48","44","63","54","396","97","332","82","64","62","0","12","0","12","0","12","0","12","0","12","1400000US36005018302","Census Tract 183.02, Bronx County, New York"
"1541","77","904","121","410","111","115","48","298","96","25","27","5","11","51","52","637","106","530","124","96","63","11","17","0","12","0","12","0","12","0","12","1400000US36005018400","Census Tract 184, Bronx County, New York"
"2969","141","1909","186","625","205","510","165","370","170","269","149","25","42","110","85","1060","213","889","208","171","118","0","17","0","17","0","17","0","17","0","17","1400000US36005018500","Census Tract 185, Bronx County, New York"
"2939","135","1853","237","642","205","416","147","408","192","243","136","63","49","81","62","1086","202","994","203","51","63","41","62","0","17","0","17","0","17","0","17","1400000US36005018900","Census Tract 189, Bronx County, New York"
"2225","109","1451","203","328","141","398","160","482","159","204","94","7","15","32","48","774","182","690","177","84","96","0","17","0","17","0","17","0","17","0","17","1400000US36005019300","Census Tract 193, Bronx County, New York"
"738","55","574","67","137","56","169","62","152","49","54","37","40","35","22","21","164","70","157","70","7","12","0","12","0","12","0","12","0","12","0","12","1400000US36005019400","Census Tract 194, Bronx County, New York"
"2694","108","1493","203","363","163","553","185","293","131","207","115","77","78","0","17","1201","195","1010","219","164","96","0","17","0","17","27","43","0","17","0","17","1400000US36005019500","Census Tract 195, Bronx County, New York"
"2297","54","1617","161","354","151","379","163","393","145","246","124","154","102","91","87","680","151","583","140","87","77","0","17","0","17","10","18","0","17","0","17","1400000US36005019700","Census Tract 197, Bronx County, New York"
"2922","61","1930","221","688","215","479","188","327","155","196","108","156","122","84","68","992","217","829","200","163","92","0","17","0","17","0","17","0","17","0","17","1400000US36005019900","Census Tract 199, Bronx County, New York"
"1469","82","1102","127","231","97","287","93","314","96","145","65","88","67","37","48","367","102","349","104","18","19","0","12","0","12","0","12","0","12","0","12","1400000US36005020000","Census Tract 200, Bronx County, New York"
"1272","76","901","105","209","78","303","123","209","91","123","59","10","15","47","37","371","100","340","100","31","35","0","12","0","12","0","12","0","12","0","12","1400000US36005020100","Census Tract 201, Bronx County, New York"
"863","56","513","57","174","59","119","46","84","40","68","31","37","25","31","24","350","58","305","58","28","24","17","25","0","12","0","12","0","12","0","12","1400000US36005020200","Census Tract 202, Bronx County, New York"
"1025","71","742","125","259","109","220","103","139","72","59","40","46","44","19","26","283","105","186","98","86","70","11","17","0","12","0","12","0","12","0","12","1400000US36005020400","Census Tract 204, Bronx County, New York"
"2858","91","1661","209","648","229","499","177","357","139","97","79","60","57","0","17","1197","219","1080","216","33","37","61","101","0","17","0","17","23","39","0","17","1400000US36005020501","Census Tract 205.01, Bronx County, New York"
"926","45","515","70","177","64","210","63","97","45","0","12","23","26","8","12","411","67","385","64","26","29","0","12","0","12","0","12","0","12","0","12","1400000US36005020502","Census Tract 205.02, Bronx County, New York"
"906","86","407","98","79","58","132","68","73","52","45","40","45","42","33","40","499","132","499","132","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005020601","Census Tract 206.01, Bronx County, New York"
"1732","69","1060","130","344","112","374","124","230","100","83","79","13","23","16","26","672","126","648","126","10","16","14","24","0","12","0","12","0","12","0","12","1400000US36005020900","Census Tract 209, Bronx County, New York"
"3841","174","2238","284","855","203","628","206","641","192","91","60","23","39","0","17","1603","287","1361","273","242","138","0","17","0","17","0","17","0","17","0","17","1400000US36005021001","Census Tract 210.01, Bronx County, New York"
"3003","112","1867","239","639","204","579","220","458","186","93","84","0","17","98","102","1136","255","1038","252","98","60","0","17","0","17","0","17","0","17","0","17","1400000US36005021002","Census Tract 210.02, Bronx County, New York"
"1935","92","1280","133","305","127","447","139","336","126","126","74","14","20","52","45","655","127","634","126","21","23","0","17","0","17","0","17","0","17","0","17","1400000US36005021100","Census Tract 211, Bronx County, New York"
"2306","146","1321","188","711","184","292","146","221","107","97","59","0","12","0","12","985","211","953","208","32","36","0","12","0","12","0","12","0","12","0","12","1400000US36005021200","Census Tract 212, Bronx County, New York"
"469","30","328","57","98","47","105","49","84","41","37","36","0","12","4","7","141","48","123","48","18","18","0","12","0","12","0","12","0","12","0","12","1400000US36005021301","Census Tract 213.01, Bronx County, New York"
"2098","129","1127","188","446","181","145","97","204","126","201","123","116","117","15","24","971","214","840","199","73","94","25","42","0","17","33","45","0","17","0","17","1400000US36005021302","Census Tract 213.02, Bronx County, New York"
"1390","62","986","116","283","105","205","99","192","84","191","73","40","41","75","61","404","110","404","110","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005021501","Census Tract 215.01, Bronx County, New York"
"2149","60","1430","162","337","130","387","148","453","123","200","93","36","43","17","28","719","158","632","150","87","66","0","17","0","17","0","17","0","17","0","17","1400000US36005021502","Census Tract 215.02, Bronx County, New York"
